,clusters_np,filenames_np
143,4,DAM043_T_DAP_KID.jpg
144,0,DAMa013_T_DAP_ADULT.png
145,4,DAM056_T_DAP_KID.jpg
146,2,DAM055_T_DAP_KID.jpg
147,3,DAM009_P_DAP_KID.jpg
148,0,DAMa015_T_DAP_ADULT.png
149,2,DAM018_T_DAP_KID.jpg
150,0,DAMa009_T_DAP_ADULT.png
151,2,DAM003_P_DAP_KID.jpg
152,4,DAM015_P_DAP_KID.jpg
153,1,DAMa019_F_DAP_ADULT.png
154,0,DAMa007_F_DAP_ADULT.png
155,4,DAM022_P_DAP_KID.jpg
156,3,DAM044_T_DAP_KID.jpg
157,4,DAM066_P_DAP_KID.jpg
158,4,DAM010_T_DAP_KID.jpg
159,4,DAM006_F_DAP_KID.jpg
160,3,DAM044_F_DAP_KID.jpg
161,2,DAM081_F_DAP_KID.jpg
162,0,DAMa014_F_DAP_ADULT.png
163,0,DAMa014_T_DAP_ADULT.png
164,3,DAM016_T_DAP_KID.jpg
165,0,DAMa004_T_DAP_ADULT.png
166,2,DAM001_T_DAP_KID.jpg
167,0,DAMa003_F_DAP_ADULT.png
168,0,DAMa015_F_DAP_ADULT.png
169,4,DAM075_P_DAP_KID.jpg
170,4,DAM083_F_DAP_KID.jpg
171,3,DAM011_T_DAP_KID.jpg
172,2,DAM033_P_DAP_KID.jpg
173,1,DAMa024_T_DAP_ADULT.png
174,3,DAM049_F_DAP_KID.jpg
175,3,DAM073_T_DAP_KID.jpg
176,2,DAM002_F_DAP_KID.jpg
177,2,DAM008_T_DAP_KID.jpg
178,4,DAM058_F_DAP_KID.jpg
179,4,DAM070_P_DAP_KID.jpg
180,4,DAM009_F_DAP_KID.jpg
181,2,DAM039_P_DAP_KID.jpg
182,0,DAMa020_T_DAP_ADULT.png
183,2,DAM055_P_DAP_KID.jpg
184,2,DAM068_T_DAP_KID.jpg
185,2,DAM031_P_DAP_KID.jpg
186,4,DAM015_F_DAP_KID.jpg
187,0,DAMa011_F_DAP_ADULT.png
188,2,DAM007_T_DAP_KID.jpg
189,0,DAMa013_F_DAP_ADULT.png
190,0,DAMa011_T_DAP_ADULT.png
191,2,DAM018_P_DAP_KID.jpg
192,0,DAMa005_T_DAP_ADULT.png
193,3,DAM046_P_DAP_KID.jpg
194,2,DAM037_P_DAP_KID.jpg
195,2,DAM036_F_DAP_KID.jpg
196,2,DAM028_P_DAP_KID.jpg
197,4,DAM059_P_DAP_KID.jpg
198,4,DAM080_P_DAP_KID.jpg
199,2,DAM021_T_DAP_KID.jpg
200,1,DAMa002_F_DAP_ADULT.png
201,3,DAM048_T_DAP_KID.jpg
202,3,DAM004_T_DAP_KID.jpg
203,2,DAM033_F_DAP_KID.jpg
204,0,DAMa022_T_DAP_ADULT.png
205,0,DAMa005_F_DAP_ADULT.png
206,2,DAM062_F_DAP_KID.jpg
207,2,DAM078_T_DAP_KID.jpg
208,3,DAM064_T_DAP_KID.jpg
209,4,DAM058_T_DAP_KID.jpg
210,3,DAM008_F_DAP_KID.jpg
211,4,DAM052_F_DAP_KID.jpg
212,2,DAM033_T_DAP_KID.jpg
213,0,DAMa010_T_DAP_ADULT.png
214,4,DAM077_P_DAP_KID.jpg
215,3,DAM023_P_DAP_KID.jpg
216,4,DAM019_F_DAP_KID.jpg
217,2,DAM030_T_DAP_KID.jpg
218,4,DAM029_P_DAP_KID.jpg
219,3,DAM021_F_DAP_KID.jpg
220,2,DAM001_F_DAP_KID.jpg
221,0,DAMa008_F_DAP_ADULT.png
222,4,DAM032_P_DAP_KID.jpg
223,2,DAM027_P_DAP_KID.jpg
224,4,DAM070_T_DAP_KID.jpg
225,3,DAM050_P_DAP_KID.jpg
226,2,DAM037_F_DAP_KID.jpg
227,0,DAMa018_F_DAP_ADULT.png
228,0,DAMa021_F_DAP_ADULT.png
229,4,DAM041_T_DAP_KID.jpg
230,4,DAM027_F_DAP_KID.jpg
231,0,DAMa006_F_DAP_ADULT.png
232,4,DAMa025_T_DAP_ADULT.png
233,3,DAM049_P_DAP_KID.jpg
234,4,DAM082_P_DAP_KID.jpg
235,4,DAM044_P_DAP_KID.jpg
236,2,DAM079_F_DAP_KID.jpg
237,4,DAM014_P_DAP_KID.jpg
238,1,DAMa012_T_DAP_ADULT.png
239,4,DAM083_T_DAP_KID.jpg
240,2,DAM003_T_DAP_KID.jpg
241,3,DAM053_T_DAP_KID.jpg
242,4,DAM071_F_DAP_KID.jpg
243,4,DAM051_P_DAP_KID.jpg
244,3,DAM080_T_DAP_KID.jpg
245,3,DAM011_P_DAP_KID.jpg
246,4,DAMa025_F_DAP_ADULT.png
247,3,DAM053_F_DAP_KID.jpg
248,4,DAM054_T_DAP_KID.jpg
249,4,DAM013_P_DAP_KID.jpg
250,3,DAM076_T_DAP_KID.jpg
251,2,DAM024_P_DAP_KID.jpg
252,4,DAM071_P_DAP_KID.jpg
253,1,DAMa023_T_DAP_ADULT.png
254,2,DAM029_F_DAP_KID.jpg
255,2,DAM007_F_DAP_KID.jpg
256,2,DAM072_F_DAP_KID.jpg
257,2,DAM026_P_DAP_KID.jpg
