round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation
100,15.886563164847237,3.7627315861838206,15.886563164847237,16.989418325171005,3.8357401020758974,16.989418325171005,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,100,0.2,normal,0.1,linear
300,10.920050178255353,2.945305722100394,10.920050178255353,4.766131664799378,1.7214033002347018,4.766131664799378,4,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,300,0.1,normal,0.1,linear
300,17.858729566846574,4.017001594815936,17.858729566846574,19.511129024809442,4.151083750007427,19.511129024809442,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,300,0.2,uniform,0.01,linear
300,18.215077808925084,4.06109094619751,18.215077808925084,19.911343228500503,4.198770826896735,19.911343228500503,2,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,300,0.001,normal,0.001,linear
20,18.211279596601212,4.060587934085301,18.211279596601212,19.899034770189132,4.197366419091689,19.899034770189132,4,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,20,0.001,uniform,0.01,linear
100,17.793890816824778,4.008969136646816,17.793890816824778,19.43043166979224,4.143141531311305,19.43043166979224,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,100,0.1,uniform,0.001,linear
300,17.691206659589493,3.9955363614218578,17.691206659589493,19.0145255780853,4.094013705717779,19.0145255780853,4,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,300,0.2,normal,0.01,linear
20,18.25162172317505,4.0652686442647665,18.25162172317505,19.938565583355658,4.201982751356817,19.938565583355658,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,20,0.001,normal,0.001,linear
500,17.325082302093506,3.95000490120479,17.325082302093506,18.96661976164421,4.084941619265396,18.96661976164421,16,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,500,0.001,uniform,0.001,linear
50,18.376208305358887,4.080923063414438,18.376208305358887,20.073755331798992,4.218129542021625,20.073755331798992,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,50,0.001,uniform,0.01,linear
300,17.415684291294642,3.961461441857474,17.415684291294642,19.06427764892578,4.096624583269643,19.06427764892578,8,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,20,300,0.1,uniform,0.001,linear
