,clusters_np,filenames_np
140,1,DAM077_P_DAP_KID.jpg
141,1,DAM006_F_DAP_KID.jpg
142,2,DAM029_T_DAP_KID.jpg
143,1,DAM075_P_DAP_KID.jpg
144,1,DAM010_P_DAP_KID.jpg
145,2,DAMa010_T_DAP_ADULT.jpg
146,1,DAM083_P_DAP_KID.jpg
147,1,DAM082_F_DAP_KID.jpg
148,1,DAM055_P_DAP_KID.jpg
149,1,DAM058_P_DAP_KID.jpg
150,1,DAM062_F_DAP_KID.jpg
151,1,DAM052_P_DAP_KID.jpg
152,1,DAM071_F_DAP_KID.jpg
153,1,DAM010_T_DAP_KID.jpg
154,1,DAM006_P_DAP_KID.jpg
155,3,DAM075_F_DAP_KID.jpg
156,3,DAM053_T_DAP_KID.jpg
157,2,DAM018_T_DAP_KID.jpg
158,3,DAM004_F_DAP_KID.jpg
159,4,DAM060_F_DAP_KID.jpg
160,1,DAM019_F_DAP_KID.jpg
161,4,DAM063_P_DAP_KID.jpg
162,3,DAM074_P_DAP_KID.jpg
163,4,DAMa021_T_DAP_ADULT.jpg
164,1,DAM027_T_DAP_KID.jpg
165,2,DAMa010_F_DAP_ADULT.jpg
166,1,DAM007_F_DAP_KID.jpg
167,2,DAM078_F_DAP_KID.jpg
168,0,DAMa023_F_DAP_ADULT.jpg
169,1,DAM073_P_DAP_KID.jpg
170,2,DAMa008_F_DAP_ADULT.jpg
171,1,DAMa015_F_DAP_ADULT.jpg
172,3,DAMa006_T_DAP_ADULT.jpg
173,0,DAMa007_F_DAP_ADULT.jpg
174,1,DAM068_F_DAP_KID.jpg
175,3,DAM050_P_DAP_KID.jpg
176,1,DAM028_F_DAP_KID.jpg
177,1,DAM065_P_DAP_KID.jpg
178,1,DAM013_P_DAP_KID.jpg
179,1,DAM079_P_DAP_KID.jpg
180,4,DAM033_P_DAP_KID.jpg
181,1,DAM041_P_DAP_KID.jpg
182,1,DAM079_F_DAP_KID.jpg
183,4,DAM036_P_DAP_KID.jpg
184,3,DAM071_T_DAP_KID.jpg
185,1,DAM030_F_DAP_KID.jpg
186,1,DAM039_P_DAP_KID.jpg
187,3,DAM083_F_DAP_KID.jpg
188,2,DAMa014_T_DAP_ADULT.jpg
189,2,DAMa016_F_DAP_ADULT.jpg
190,3,DAM023_P_DAP_KID.jpg
191,1,DAM014_P_DAP_KID.jpg
192,1,DAM053_P_DAP_KID.jpg
193,1,DAM035_F_DAP_KID.jpg
194,1,DAM014_F_DAP_KID.jpg
195,1,DAM015_F_DAP_KID.jpg
196,1,DAM029_P_DAP_KID.jpg
197,2,DAMa009_F_DAP_ADULT.jpg
198,3,DAM070_P_DAP_KID.jpg
199,4,DAM079_T_DAP_KID.jpg
200,3,DAM009_P_DAP_KID.jpg
201,4,DAM020_P_DAP_KID.jpg
202,4,DAM002_T_DAP_KID.jpg
203,2,DAM031_T_DAP_KID.jpg
204,4,DAM002_F_DAP_KID.jpg
205,3,DAM042_T_DAP_KID.jpg
206,2,DAMa020_T_DAP_ADULT.jpg
207,1,DAM052_F_DAP_KID.jpg
208,3,DAM086_P_DAP_KID.jpg
209,3,DAM050_T_DAP_KID.jpg
210,1,DAM010_F_DAP_KID.jpg
211,1,DAM073_F_DAP_KID.jpg
212,1,DAM084_T_DAP_KID.jpg
213,1,DAM056_T_DAP_KID.jpg
214,3,DAM080_T_DAP_KID.jpg
215,1,DAM009_F_DAP_KID.jpg
216,1,DAM007_P_DAP_KID.jpg
