,clusters_np,filenames_np
0,7,DAM024_P_DAP_KID.jpg
1,4,DAM081_P_DAP_KID.jpg
2,6,DAMa016_T_DAP_ADULT.jpg
3,4,DAM064_P_DAP_KID.jpg
4,3,DAM013_F_DAP_KID.jpg
5,2,DAMa017_T_DAP_ADULT.jpg
6,0,DAM016_T_DAP_KID.jpg
7,0,DAM011_P_DAP_KID.jpg
8,7,DAM032_P_DAP_KID.jpg
9,4,DAM070_T_DAP_KID.jpg
10,4,DAM040_F_DAP_KID.jpg
11,1,DAMa011_T_DAP_ADULT.jpg
12,7,DAM026_F_DAP_KID.jpg
13,3,DAM025_F_DAP_KID.jpg
14,4,DAM025_P_DAP_KID.jpg
15,6,DAM026_T_DAP_KID.jpg
16,0,DAM005_F_DAP_KID.jpg
17,4,DAM064_F_DAP_KID.jpg
18,0,DAM012_F_DAP_KID.jpg
19,4,DAM081_T_DAP_KID.jpg
20,6,DAM026_P_DAP_KID.jpg
21,3,DAM062_T_DAP_KID.jpg
22,2,DAMa014_F_DAP_ADULT.jpg
23,4,DAM081_F_DAP_KID.jpg
24,4,DAM054_T_DAP_KID.jpg
25,1,DAMa017_F_DAP_ADULT.jpg
26,0,DAM015_P_DAP_KID.jpg
27,4,DAM003_F_DAP_KID.jpg
28,3,DAM037_F_DAP_KID.jpg
29,1,DAMa002_F_DAP_ADULT.jpg
30,0,DAM074_T_DAP_KID.jpg
31,4,DAMa005_T_DAP_ADULT.jpg
32,4,DAM048_F_DAP_KID.jpg
33,1,DAMa012_T_DAP_ADULT.jpg
34,1,DAM002_P_DAP_KID.jpg
35,3,DAMa005_F_DAP_ADULT.jpg
36,7,DAM051_F_DAP_KID.jpg
37,1,DAMa019_T_DAP_ADULT.jpg
38,0,DAM053_F_DAP_KID.jpg
39,4,DAM018_F_DAP_KID.jpg
40,1,DAM036_T_DAP_KID.jpg
41,7,DAM084_P_DAP_KID.jpg
42,1,DAM030_P_DAP_KID.jpg
43,0,DAM011_T_DAP_KID.jpg
44,0,DAM009_T_DAP_KID.jpg
45,1,DAM078_P_DAP_KID.jpg
46,7,DAM072_P_DAP_KID.jpg
47,1,DAM003_P_DAP_KID.jpg
48,7,DAM070_F_DAP_KID.jpg
49,0,DAM049_F_DAP_KID.jpg
50,6,DAM085_F_DAP_KID.jpg
51,4,DAMa021_F_DAP_ADULT.jpg
52,0,DAM012_T_DAP_KID.jpg
53,7,DAM006_T_DAP_KID.jpg
54,1,DAMa023_T_DAP_ADULT.jpg
55,2,DAMa013_T_DAP_ADULT.jpg
56,7,DAM040_P_DAP_KID.jpg
57,0,DAM016_P_DAP_KID.jpg
58,7,DAM051_P_DAP_KID.jpg
59,4,DAM035_T_DAP_KID.jpg
60,3,DAMa004_T_DAP_ADULT.jpg
61,0,DAM004_P_DAP_KID.jpg
62,7,DAM013_T_DAP_KID.jpg
63,3,DAM021_T_DAP_KID.jpg
64,3,DAM059_P_DAP_KID.jpg
65,3,DAM072_F_DAP_KID.jpg
66,4,DAM019_T_DAP_KID.jpg
67,0,DAMa006_F_DAP_ADULT.jpg
68,4,DAM076_P_DAP_KID.jpg
69,4,DAM041_T_DAP_KID.jpg
70,0,DAM080_F_DAP_KID.jpg
71,1,DAM028_P_DAP_KID.jpg
72,7,DAM071_P_DAP_KID.jpg
73,4,DAM028_T_DAP_KID.jpg
74,1,DAM036_F_DAP_KID.jpg
75,1,DAMa003_F_DAP_ADULT.jpg
76,2,DAMa007_T_DAP_ADULT.jpg
77,1,DAMa002_T_DAP_ADULT.jpg
78,4,DAM043_F_DAP_KID.jpg
79,0,DAM054_P_DAP_KID.jpg
80,4,DAM007_T_DAP_KID.jpg
81,0,DAM074_F_DAP_KID.jpg
82,1,DAMa003_T_DAP_ADULT.jpg
83,4,DAMa022_T_DAP_ADULT.jpg
84,7,DAM041_F_DAP_KID.jpg
85,4,DAM066_P_DAP_KID.jpg
86,0,DAM065_T_DAP_KID.jpg
87,4,DAM055_T_DAP_KID.jpg
88,4,DAM076_T_DAP_KID.jpg
89,1,DAM060_T_DAP_KID.jpg
90,1,DAM001_T_DAP_KID.jpg
91,7,DAM024_T_DAP_KID.jpg
92,0,DAM011_F_DAP_KID.jpg
93,4,DAM055_F_DAP_KID.jpg
94,1,DAMa015_DAP_ADULT.jpg
95,5,DAMa024_F_DAP_ADULT.jpg
96,6,DAMa008_T_DAP_ADULT.jpg
97,6,DAMa020_F_DAP_ADULT.jpg
98,4,DAM027_P_DAP_KID.jpg
99,3,DAMa025_T_DAP_ADULT.jpg
100,4,DAM022_P_DAP_KID.jpg
101,0,DAM005_T_DAP_KID.jpg
102,0,DAM016_F_DAP_KID.jpg
103,0,DAM065_F_DAP_KID.jpg
104,2,DAMa013_F_DAP_ADULT.jpg
105,0,DAM042_P_DAP_KID.jpg
106,0,DAM022_F_DAP_KID.jpg
107,6,DAM029_F_DAP_KID.jpg
108,4,DAM046_T_DAP_KID.jpg
109,4,DAM057_F_DAP_KID.jpg
110,4,DAM001_F_DAP_KID.jpg
111,4,DAM077_F_DAP_KID.jpg
112,3,DAM073_T_DAP_KID.jpg
113,1,DAM037_P_DAP_KID.jpg
114,3,DAM008_P_DAP_KID.jpg
115,4,DAM076_F_DAP_KID.jpg
116,3,DAMa011_F_DAP_ADULT.jpg
117,2,DAMa025_F_DAP_ADULT.jpg
118,6,DAM031_P_DAP_KID.jpg
119,0,DAM021_F_DAP_KID.jpg
120,1,DAM035_P_DAP_KID.jpg
121,7,DAM058_F_DAP_KID.jpg
122,1,DAM077_T_DAP_KID.jpg
123,7,DAM001_P_DAP_KID.jpg
124,0,DAM057_P_DAP_KID.jpg
125,0,DAM047_T_DAP_KID.jpg
126,7,DAM058_T_DAP_KID.jpg
127,0,DAM047_P_DAP_KID.jpg
128,1,DAM078_T_DAP_KID.jpg
129,4,DAM008_T_DAP_KID.jpg
130,3,DAM020_T_DAP_KID.jpg
131,3,DAM030_T_DAP_KID.jpg
132,4,DAM027_F_DAP_KID.jpg
133,0,DAM049_T_DAP_KID.jpg
134,3,DAM020_F_DAP_KID.jpg
135,4,DAMa009_T_DAP_ADULT.jpg
136,4,DAMa019_F_DAP_ADULT.jpg
137,3,DAM062_P_DAP_KID.jpg
138,3,DAMa004_F_DAP_ADULT.jpg
139,3,DAM025_T_DAP_KID.jpg
140,7,DAM077_P_DAP_KID.jpg
141,7,DAM006_F_DAP_KID.jpg
142,6,DAM029_T_DAP_KID.jpg
143,7,DAM075_P_DAP_KID.jpg
144,4,DAM010_P_DAP_KID.jpg
145,6,DAMa010_T_DAP_ADULT.jpg
146,7,DAM083_P_DAP_KID.jpg
147,7,DAM082_F_DAP_KID.jpg
148,4,DAM055_P_DAP_KID.jpg
149,7,DAM058_P_DAP_KID.jpg
150,4,DAM062_F_DAP_KID.jpg
151,4,DAM052_P_DAP_KID.jpg
152,7,DAM071_F_DAP_KID.jpg
153,4,DAM010_T_DAP_KID.jpg
154,7,DAM006_P_DAP_KID.jpg
155,0,DAM075_F_DAP_KID.jpg
156,0,DAM053_T_DAP_KID.jpg
157,3,DAM018_T_DAP_KID.jpg
158,0,DAM004_F_DAP_KID.jpg
159,1,DAM060_F_DAP_KID.jpg
160,4,DAM019_F_DAP_KID.jpg
161,1,DAM063_P_DAP_KID.jpg
162,0,DAM074_P_DAP_KID.jpg
163,1,DAMa021_T_DAP_ADULT.jpg
164,4,DAM027_T_DAP_KID.jpg
165,6,DAMa010_F_DAP_ADULT.jpg
166,4,DAM007_F_DAP_KID.jpg
167,3,DAM078_F_DAP_KID.jpg
168,5,DAMa023_F_DAP_ADULT.jpg
169,4,DAM073_P_DAP_KID.jpg
170,6,DAMa008_F_DAP_ADULT.jpg
171,4,DAMa015_F_DAP_ADULT.jpg
172,0,DAMa006_T_DAP_ADULT.jpg
173,2,DAMa007_F_DAP_ADULT.jpg
174,4,DAM068_F_DAP_KID.jpg
175,0,DAM050_P_DAP_KID.jpg
176,4,DAM028_F_DAP_KID.jpg
177,4,DAM065_P_DAP_KID.jpg
178,7,DAM013_P_DAP_KID.jpg
179,7,DAM079_P_DAP_KID.jpg
180,1,DAM033_P_DAP_KID.jpg
181,4,DAM041_P_DAP_KID.jpg
182,4,DAM079_F_DAP_KID.jpg
183,1,DAM036_P_DAP_KID.jpg
184,0,DAM071_T_DAP_KID.jpg
185,4,DAM030_F_DAP_KID.jpg
186,4,DAM039_P_DAP_KID.jpg
187,0,DAM083_F_DAP_KID.jpg
188,6,DAMa014_T_DAP_ADULT.jpg
189,6,DAMa016_F_DAP_ADULT.jpg
190,0,DAM023_P_DAP_KID.jpg
191,7,DAM014_P_DAP_KID.jpg
192,4,DAM053_P_DAP_KID.jpg
193,4,DAM035_F_DAP_KID.jpg
194,7,DAM014_F_DAP_KID.jpg
195,7,DAM015_F_DAP_KID.jpg
196,7,DAM029_P_DAP_KID.jpg
197,6,DAMa009_F_DAP_ADULT.jpg
198,0,DAM070_P_DAP_KID.jpg
199,1,DAM079_T_DAP_KID.jpg
200,0,DAM009_P_DAP_KID.jpg
201,1,DAM020_P_DAP_KID.jpg
202,1,DAM002_T_DAP_KID.jpg
203,6,DAM031_T_DAP_KID.jpg
204,1,DAM002_F_DAP_KID.jpg
205,0,DAM042_T_DAP_KID.jpg
206,6,DAMa020_T_DAP_ADULT.jpg
207,4,DAM052_F_DAP_KID.jpg
208,0,DAM086_P_DAP_KID.jpg
209,0,DAM050_T_DAP_KID.jpg
210,7,DAM010_F_DAP_KID.jpg
211,4,DAM073_F_DAP_KID.jpg
212,4,DAM084_T_DAP_KID.jpg
213,4,DAM056_T_DAP_KID.jpg
214,0,DAM080_T_DAP_KID.jpg
215,7,DAM009_F_DAP_KID.jpg
216,4,DAM007_P_DAP_KID.jpg
217,7,DAM012_P_DAP_KID.jpg
218,2,DAMa018_F_DAP_ADULT.jpg
219,4,DAM068_T_DAP_KID.jpg
220,6,DAMa018_T_DAP_ADULT.jpg
221,1,DAM018_P_DAP_KID.jpg
222,7,DAM082_P_DAP_KID.jpg
223,4,DAM037_T_DAP_KID.jpg
224,7,DAM044_P_DAP_KID.jpg
225,7,DAM045_T_DAP_KID.jpg
226,7,DAM043_T_DAP_KID.jpg
227,7,DAM014_T_DAP_KID.jpg
228,4,DAMa022_F_DAP_ADULT.jpg
229,4,DAM080_P_DAP_KID.jpg
230,0,DAM044_T_DAP_KID.jpg
231,7,DAM063_F_DAP_KID.jpg
232,0,DAMa001_F_DAP_ADULT.jpg
233,4,DAM052_T_DAP_KID.jpg
234,1,DAMa012_F_DAP_ADULT.jpg
235,0,DAM024_F_DAP_KID.jpg
236,4,DAM003_T_DAP_KID.jpg
237,0,DAM048_P_DAP_KID.jpg
238,4,DAM072_T_DAP_KID.jpg
239,6,DAM031_F_DAP_KID.jpg
240,3,DAM033_F_DAP_KID.jpg
241,3,DAM033_T_DAP_KID.jpg
242,0,DAM046_P_DAP_KID.jpg
243,0,DAM004_T_DAP_KID.jpg
244,5,DAMa024_T_DAP_ADULT.jpg
245,0,DAM049_P_DAP_KID.jpg
246,0,DAM048_T_DAP_KID.jpg
247,4,DAM008_F_DAP_KID.jpg
248,7,DAM051_T_DAP_KID.jpg
249,1,DAM019_P_DAP_KID.jpg
